"Section","Group","Field","Type","Value","Time Line","P&P","Default Value","Department","Roles","Notices","Notice Process","QC / Acknoledgment","Escalation and Notes","Task","Task responsible role","Task due date","Task action","Mandatory Field","Parent Field","Fill only for Role","Task Rule"
"Wholesale","Development Partner ","Party responsible for costs incurred in providing the Services?","Option","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","Party Responsible for EMD","Option","2","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","Party responsible for Gap Funds? ","Option","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","Party Responsible for Payments?","Option","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","Party supplying tools, materials, and equipment? ","Option","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","Profit Split to Company ","Option","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","Profit Split to DP","Option","2","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","Referral Amount ","Text","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","Development Partner ","Referral Payee ","Text","3","2","","","Acquisition Team","Acquisition Manager","","","","","","","","","","","",""
"Wholesale","EMD","EMD Amount Refunded","Number","3","4","","","Acquisition Team ","Closing Coordinator Acquisition","","","","","","","","","Buyers EMD Status","","",""
"Wholesale","EMD","EMD Amount Refunded Date","Date","3","4","","","Acquisition Team ","Closing Coordinator Acquisition","","","","","","","","","Buyers EMD Status","","",""
"Wholesale","EMD","EMD Amount Sent","Number","3","3","","","Acquisition Team","Super Administrator","","","","","","","","","","","",""
"Wholesale","EMD","EMD Contract Amount","Duplicate from Acquisition Information > Final Acquisition Contract Terms > Contract EMD Amount","","","","","","","","","","","","","","","","","",""
"Wholesale","EMD","EMD Notes","Text","3","3","","","Acquisition Team","Super Administrator","","","","","","","","","","","",""
"Wholesale","EMD","EMD Sent Date","Date","KPI","3","","","Acquisition Team","Super Administrator","","","","","","","","","","","",""
